task_id,model_version,clarity_score,motion_score,style_score,human_score,complaint_flag
T00000314,Model_A,4.45,3.55,3.55,3.81,0
T00000316,Model_A,3.6,3.53,2.6,3.2,0
T00000318,Model_A,3.56,3.32,3.55,3.41,0
T00000321,Model_A,4.43,4.21,2.76,3.93,0
T00000322,Model_A,3.65,3.64,3.61,3.66,0
T00000323,Model_A,4.12,4.36,4.72,4.48,0
T00000324,Model_A,3.99,3.82,3.14,3.63,0
T00000325,Model_A,4.87,3.32,4.76,4.25,0
T00000332,Model_A,3.57,3.39,3.64,3.74,0
T00000333,Model_A,3.78,3.07,3.53,3.33,0
T00000335,Model_A,2.9,3.13,3.47,3.18,0
T00000336,Model_A,3.41,3.19,3.01,3.01,0
T00000337,Model_A,3.5,3.51,3.27,3.29,0
T00000343,Model_A,2.82,3.74,3.11,3.47,0
T00000344,Model_A,4.16,3.01,2.96,3.47,0
T00000345,Model_A,3.16,3.68,3.77,3.24,0
T00000347,Model_A,3.61,3.33,3.13,3.32,0
T00000357,Model_A,3.0,4.31,3.98,3.7,0
T00000369,Model_A,2.92,3.8,3.09,3.31,0
T00000371,Model_A,4.1,3.83,3.5,3.49,0
T00000374,Model_A,3.97,3.25,3.12,3.37,0
T00000378,Model_A,3.82,4.23,3.16,3.84,0
T00000380,Model_A,3.68,3.65,3.5,3.8,1
T00000381,Model_A,4.08,4.22,3.89,3.96,0
T00000391,Model_A,3.88,3.45,4.09,3.76,0
T00000396,Model_A,4.39,3.72,3.42,3.99,0
T00000397,Model_A,4.32,3.88,3.15,3.73,0
T00000405,Model_A,3.89,3.66,4.15,3.8,0
T00000409,Model_A,3.31,3.5,3.74,3.6,0
T00000412,Model_A,3.54,3.29,3.81,3.61,0
T00000415,Model_A,3.59,3.06,3.75,3.44,0
T00000417,Model_A,4.1,3.56,3.5,3.84,0
T00000420,Model_A,3.98,3.28,3.04,3.37,0
T00000422,Model_A,3.11,4.36,4.16,3.85,0
T00000425,Model_A,3.15,3.87,3.21,3.3,0
T00000431,Model_A,3.57,3.73,4.08,3.69,0
T00000435,Model_A,3.8,4.49,4.31,4.1,0
T00000441,Model_A,3.72,3.86,3.75,3.69,0
T00000446,Model_A,4.07,3.69,3.16,3.68,0
T00000447,Model_A,3.78,3.0,3.15,3.36,0
T00000448,Model_A,3.91,3.47,3.36,3.94,0
T00000453,Model_A,3.33,3.35,3.82,3.24,0
T00000454,Model_A,3.11,4.2,3.65,3.8,0
T00000458,Model_A,3.73,3.64,3.05,3.38,0
T00000460,Model_A,3.45,3.58,2.96,3.36,0
T00000474,Model_A,3.1,3.96,3.42,3.51,0
T00000482,Model_A,3.59,3.29,4.01,3.78,0
T00000484,Model_A,3.19,3.35,3.85,3.48,0
T00000487,Model_A,3.54,3.49,3.3,3.29,0
T00000488,Model_A,3.74,3.36,3.93,3.59,0
T00000491,Model_A,4.0,3.45,3.66,3.51,0
T00000492,Model_A,4.47,4.09,3.92,4.09,0
T00000496,Model_A,4.35,3.83,3.39,3.98,0
T00000499,Model_A,4.07,3.06,3.03,3.46,0
T00000503,Model_A,2.96,4.19,3.16,3.37,0
T00000510,Model_A,3.54,3.39,3.77,3.77,0
T00000512,Model_A,4.44,3.98,3.02,4.01,0
T00000516,Model_A,3.17,3.63,3.49,3.6,0
T00000517,Model_A,2.74,2.91,3.47,3.08,0
T00000518,Model_A,3.82,2.56,3.89,3.52,0
T00000519,Model_A,3.95,3.83,3.43,3.72,0
T00000526,Model_A,4.27,3.77,3.31,3.71,0
T00000529,Model_A,4.22,2.56,4.16,3.36,0
T00000530,Model_A,2.76,3.2,3.32,3.07,0
T00000532,Model_A,4.13,3.86,3.53,3.89,0
T00000533,Model_A,4.49,3.78,4.04,4.23,0
T00000535,Model_A,3.23,4.17,3.3,3.62,0
T00000536,Model_A,3.68,2.54,4.71,3.58,0
T00000537,Model_A,4.12,3.42,4.24,3.91,0
T00000538,Model_A,3.66,3.08,3.61,3.61,0
T00000540,Model_A,4.0,3.44,3.67,3.76,0
T00000545,Model_A,3.99,3.29,3.02,3.38,0
T00000546,Model_A,4.02,3.59,2.22,3.16,0
T00000551,Model_A,3.06,3.48,2.97,3.21,0
T00000552,Model_A,3.14,2.92,2.42,3.01,0
T00000556,Model_A,3.64,3.68,3.61,3.75,0
T00000557,Model_A,4.72,3.42,3.03,3.57,0
T00000560,Model_A,3.08,3.6,3.68,3.75,0
T00000562,Model_A,3.24,3.09,2.86,3.11,0
T00000563,Model_A,3.82,3.25,3.94,3.56,0
T00000569,Model_A,4.24,3.14,3.22,3.84,0
T00000571,Model_A,2.92,3.97,3.64,3.59,0
T00000573,Model_A,3.65,3.34,2.83,3.16,0
T00000574,Model_A,4.51,2.44,3.12,3.57,0
T00000577,Model_A,4.34,4.12,4.39,4.16,0
T00000583,Model_A,3.71,3.61,4.37,3.79,0
T00000585,Model_A,3.39,3.85,3.13,3.74,0
T00000587,Model_A,3.85,3.57,3.42,3.68,0
T00000591,Model_A,3.52,2.83,3.85,3.26,0
T00000595,Model_A,4.13,3.86,3.29,3.74,0
T00000598,Model_A,4.03,3.32,3.72,3.97,0
T00000599,Model_A,3.86,2.52,2.92,3.31,0
T00000601,Model_A,3.48,3.4,3.49,3.35,0
T00000605,Model_A,3.12,3.32,3.94,3.23,0
T00000606,Model_A,3.15,4.12,3.26,3.52,0
T00000609,Model_A,2.61,3.9,3.02,3.2,0
T00000610,Model_A,4.03,3.72,3.16,3.7,0
T00000611,Model_A,4.52,4.06,3.92,4.28,0
T00000612,Model_A,3.52,4.04,3.56,4.09,0
T00000615,Model_A,3.78,2.93,3.77,3.55,0
T00000620,Model_A,3.79,3.01,3.75,3.63,0
T00000623,Model_A,3.85,3.98,3.54,3.91,0
T00000625,Model_A,4.06,3.46,3.73,4.14,0
T00000630,Model_A,4.2,3.39,3.14,3.7,0
T00000632,Model_A,2.7,3.0,2.84,3.05,0
T00000633,Model_A,4.15,3.23,3.21,3.53,0
T00000638,Model_A,2.96,4.32,3.32,3.64,0
T00000640,Model_A,4.05,4.17,3.85,4.16,0
T00000641,Model_A,4.44,3.56,3.7,3.72,0
T00000642,Model_A,3.65,3.57,2.97,3.41,0
T00000652,Model_A,3.79,3.51,3.27,3.55,0
T00000654,Model_A,3.41,3.95,3.59,3.69,0
T00000655,Model_A,4.34,3.67,3.96,3.82,0
T00000658,Model_A,3.52,3.38,3.92,3.72,0
T00000673,Model_A,3.65,3.49,3.79,3.92,0
T00000680,Model_A,3.6,2.86,5.0,3.53,0
T00000684,Model_A,4.37,2.98,3.48,3.81,0
T00000685,Model_A,3.79,3.52,4.28,3.84,0
T00000686,Model_A,2.83,3.56,3.44,3.29,0
T00000688,Model_A,2.99,3.71,3.72,3.63,0
T00000689,Model_A,3.59,3.42,3.71,3.45,0
T00000694,Model_A,4.34,3.04,3.17,3.39,0
T00000696,Model_A,2.81,3.22,3.8,3.2,0
T00000704,Model_A,3.45,3.36,3.38,3.17,0
T00000710,Model_A,4.47,3.9,4.04,4.31,0
T00000711,Model_A,2.98,3.46,3.75,3.49,0
T00000717,Model_A,3.12,3.69,3.91,3.5,0
T00000718,Model_A,3.74,2.92,3.81,3.6,0
T00000725,Model_A,3.49,4.47,3.54,3.96,0
T00000727,Model_A,3.82,3.21,2.76,3.58,0
T00000728,Model_A,3.75,3.71,3.65,3.86,0
T00000731,Model_A,3.52,3.59,2.89,3.67,0
T00000737,Model_A,3.42,3.04,2.81,3.15,0
T00000741,Model_A,3.66,4.44,3.45,3.77,0
T00000742,Model_A,2.93,3.78,3.45,3.23,0
T00000743,Model_A,3.52,3.55,3.69,3.88,0
T00000746,Model_A,3.57,3.43,4.07,3.6,0
T00000748,Model_A,2.57,3.61,4.3,3.55,0
T00000750,Model_A,4.09,3.41,2.91,3.53,0
T00000751,Model_A,3.73,3.19,2.67,3.25,0
T00000758,Model_A,2.97,3.89,3.71,3.51,0
T00000764,Model_A,3.28,3.7,4.3,3.51,0
T00000765,Model_A,4.81,3.32,3.13,3.72,0
T00000766,Model_A,2.87,3.71,4.04,2.95,0
T00000778,Model_A,3.79,3.59,3.67,3.56,0
T00000779,Model_A,3.54,3.12,3.4,3.15,0
T00000780,Model_A,4.15,3.48,2.88,3.77,0
T00000784,Model_A,3.56,3.5,2.66,3.25,0
T00000785,Model_A,3.04,3.13,3.97,3.21,0
T00000788,Model_A,3.88,3.51,2.95,3.55,0
T00000790,Model_A,4.73,2.55,3.01,3.36,0
T00000798,Model_A,3.65,3.31,3.24,3.66,0
T00000799,Model_A,3.26,3.36,3.67,3.55,0
T00000800,Model_A,3.66,4.36,2.25,3.3,0
T00000801,Model_A,4.08,4.16,3.07,3.67,0
T00000803,Model_A,3.33,3.32,3.85,3.39,1
T00000806,Model_A,3.73,3.8,2.53,3.37,0
T00000807,Model_A,3.28,3.64,3.82,3.42,0
T00000812,Model_A,3.1,3.65,3.3,3.37,0
T00000816,Model_A,3.59,3.67,3.34,3.34,0
T00000818,Model_A,3.82,2.65,3.54,3.36,0
T00000819,Model_A,3.78,2.82,3.24,3.08,0
T00000821,Model_A,3.19,3.67,3.14,3.41,0
T00000823,Model_A,3.84,2.95,3.28,3.33,0
T00000824,Model_A,3.63,3.79,4.22,3.81,0
T00000825,Model_A,3.76,4.08,3.01,3.45,0
T00000827,Model_A,2.85,3.99,4.21,3.62,0
T00000828,Model_A,2.97,2.77,2.66,2.72,0
T00000832,Model_A,3.71,3.1,3.94,3.59,0
T00000835,Model_A,2.73,3.58,3.18,3.31,0
T00000836,Model_A,4.15,4.07,4.07,3.78,0
T00000842,Model_A,2.66,3.52,3.05,2.75,0
T00000844,Model_A,3.37,3.3,3.12,3.14,0
T00000847,Model_A,3.93,3.76,3.54,3.6,0
T00000848,Model_A,3.98,4.02,3.63,4.08,0
T00000852,Model_A,4.38,2.49,4.67,3.87,0
T00000869,Model_A,3.64,3.32,3.86,3.76,0
T00000873,Model_A,3.56,4.15,3.63,3.78,0
T00000875,Model_A,3.22,3.78,3.22,3.52,0
T00000876,Model_A,3.92,3.5,3.44,3.6,0
T00000878,Model_A,4.25,3.84,2.69,3.79,0
T00000879,Model_A,3.36,2.71,3.84,3.0,0
T00000882,Model_A,4.07,3.5,3.49,3.57,0
T00000883,Model_A,3.85,3.96,2.81,3.44,0
T00000885,Model_A,3.23,3.12,2.81,3.28,0
T00000889,Model_A,3.2,3.09,2.85,3.0,0
T00000891,Model_A,3.65,3.44,3.78,3.79,0
T00000894,Model_A,4.18,3.45,3.28,3.64,0
T00000896,Model_A,3.35,4.22,3.67,3.94,0
T00000900,Model_A,4.35,3.67,4.51,4.3,1
T00000901,Model_A,3.66,3.96,3.44,3.57,0
T00000902,Model_A,2.97,3.5,3.4,3.42,0
T00000904,Model_A,2.8,3.31,3.47,2.94,0
T00000905,Model_A,3.1,3.54,4.01,3.61,0
T00000906,Model_A,3.52,3.82,4.0,3.73,0
T00000907,Model_A,3.32,3.98,3.1,3.33,0
T00000909,Model_A,3.39,3.64,3.37,3.45,0
T00000910,Model_A,3.64,3.62,4.06,3.46,0
T00000911,Model_A,4.04,3.19,3.39,3.53,0
T00000912,Model_A,3.44,3.23,2.99,3.15,0
T00000914,Model_A,4.13,3.18,2.98,3.56,0
T00000918,Model_A,3.63,3.75,2.94,3.45,0
T00000919,Model_A,4.08,3.85,4.02,4.04,0
T00000924,Model_A,4.1,3.08,3.14,3.39,0
T00000929,Model_A,2.53,3.97,4.22,3.46,0
T00000933,Model_A,3.58,2.76,3.38,3.31,0
T00000938,Model_A,4.01,4.61,3.89,4.32,0
T00000939,Model_A,3.11,3.21,2.97,3.01,0
T00000940,Model_A,3.94,3.48,3.67,3.56,0
T00000943,Model_A,3.09,3.41,2.63,3.0,0
T00000944,Model_A,3.88,3.51,2.88,3.59,0
T00000945,Model_A,4.14,3.46,3.59,3.71,0
T00000946,Model_A,2.78,4.01,3.53,3.33,0
T00000947,Model_A,4.24,3.63,3.61,4.1,0
T00000948,Model_A,3.61,3.84,2.84,3.44,0
T00000953,Model_A,3.15,4.14,2.13,3.32,0
T00000955,Model_A,3.72,2.94,3.54,3.27,0
T00000956,Model_A,4.27,2.98,3.97,3.65,0
T00000957,Model_A,3.21,3.05,3.58,3.45,0
T00000960,Model_A,3.39,4.05,3.56,3.92,0
T00000961,Model_A,3.3,3.16,3.27,2.99,0
T00000969,Model_A,3.96,3.25,3.5,3.66,0
T00000971,Model_A,3.44,4.12,2.65,3.06,0
T00000973,Model_A,4.3,3.23,4.68,3.79,0
T00000975,Model_A,3.06,3.36,3.08,3.18,0
T00000976,Model_A,2.86,3.03,3.98,3.05,0
T00000977,Model_A,3.78,3.6,3.47,3.61,0
T00000981,Model_A,3.53,4.15,4.08,3.64,0
T00000983,Model_A,3.18,4.07,3.63,3.29,0
T00000990,Model_A,3.24,3.27,3.13,3.64,0
T00000998,Model_A,3.47,3.26,3.72,3.58,0
T00001000,Model_A,3.79,4.27,3.57,3.94,0
T00001003,Model_A,3.8,3.38,3.48,3.34,0
T00001004,Model_A,3.03,3.45,3.83,3.21,0
T00001005,Model_A,3.6,3.24,3.76,3.78,0
T00001008,Model_A,4.39,2.68,2.96,3.17,0
T00001009,Model_A,3.15,3.37,3.99,3.55,0
T00001013,Model_A,3.94,3.1,3.36,3.2,0
T00001014,Model_A,3.65,3.45,3.62,3.76,0
T00001015,Model_A,3.28,4.0,3.74,3.72,0
T00001022,Model_A,4.09,3.48,3.63,3.7,0
T00001047,Model_A,3.46,3.41,2.9,3.36,0
T00001048,Model_A,3.95,3.35,3.22,3.54,0
T00001050,Model_A,3.64,3.45,2.56,3.53,0
T00001053,Model_A,3.5,2.53,3.6,3.27,0
T00001057,Model_A,3.77,4.3,3.68,3.9,0
T00001058,Model_A,2.98,3.13,2.1,2.76,0
T00001060,Model_A,2.89,4.26,2.11,2.99,0
T00001070,Model_A,3.99,2.37,3.03,3.27,0
T00001074,Model_A,3.95,3.56,3.59,3.74,0
T00001075,Model_A,4.09,3.69,4.9,4.24,0
T00001077,Model_A,4.2,3.49,2.99,3.63,0
T00001080,Model_A,3.99,3.82,3.49,3.91,0
T00001082,Model_A,3.72,3.56,3.41,3.49,0
T00001084,Model_A,3.7,3.47,3.4,3.31,0
T00001086,Model_A,2.93,4.93,2.92,3.67,0
T00001087,Model_A,3.52,3.0,4.29,3.18,0
T00001091,Model_A,4.82,3.76,3.37,3.76,0
T00001096,Model_A,3.98,2.68,3.57,3.4,0
T00001102,Model_A,3.56,2.98,3.47,3.43,0
T00001104,Model_A,2.92,4.21,3.32,3.48,0
T00001110,Model_A,3.84,3.52,3.38,3.66,0
T00001114,Model_A,3.05,3.36,3.34,3.11,0
T00001115,Model_A,3.7,3.56,3.38,3.57,0
T00001117,Model_A,4.22,3.87,3.47,3.8,0
T00001118,Model_A,3.65,3.52,2.8,3.57,0
T00001119,Model_A,2.69,3.67,4.37,3.35,0
T00001120,Model_A,3.57,3.24,2.84,3.12,0
T00001125,Model_A,3.29,3.21,3.26,3.36,0
T00001128,Model_A,4.02,3.69,3.6,3.68,0
T00001129,Model_A,4.07,2.89,3.43,3.64,0
T00001130,Model_A,3.15,3.19,3.52,3.18,0
T00001131,Model_A,3.93,3.1,3.56,3.6,0
T00001132,Model_A,3.47,4.37,4.13,4.06,0
T00001134,Model_A,4.16,3.71,3.01,3.73,0
T00001137,Model_A,3.42,4.07,3.84,3.75,0
T00001138,Model_A,3.91,3.29,3.58,3.47,0
T00001143,Model_A,3.53,3.28,2.86,3.2,0
T00001147,Model_A,3.74,4.43,3.01,3.72,0
T00001148,Model_A,3.23,3.73,3.59,3.16,0
T00001151,Model_A,4.41,3.15,3.67,3.92,0
T00001153,Model_A,2.71,4.1,3.05,3.29,0
T00001159,Model_A,3.45,3.02,2.64,3.14,0
T00001160,Model_A,3.99,3.85,3.08,3.86,0
T00001162,Model_A,3.91,3.57,3.54,3.67,0
T00001164,Model_A,4.0,4.01,3.02,3.78,0
T00001167,Model_A,3.58,3.85,2.69,3.3,0
T00001169,Model_A,3.72,3.9,2.66,3.22,0
T00001170,Model_A,4.39,4.71,4.01,4.23,0
T00001171,Model_A,3.74,2.87,3.68,3.52,0
T00001174,Model_A,3.19,3.06,3.25,3.23,0
T00001175,Model_A,3.74,3.37,4.38,3.8,0
T00001176,Model_A,3.21,2.78,3.82,3.35,0
T00001177,Model_A,3.43,3.0,2.95,3.47,0
T00001178,Model_A,4.12,3.62,3.0,3.56,0
T00001179,Model_A,3.98,3.48,3.17,3.66,0
T00001183,Model_A,3.26,3.99,4.01,3.97,0
T00001186,Model_A,3.95,3.9,3.17,3.72,0
T00001187,Model_A,4.18,3.71,3.23,3.68,0
T00001189,Model_A,2.78,3.6,2.8,3.03,0
T00001191,Model_A,2.93,3.75,3.92,3.4,0
T00001194,Model_A,3.61,3.45,3.13,3.48,0
T00001197,Model_A,3.43,3.53,3.04,3.52,0
T00001201,Model_A,3.51,3.57,3.9,3.39,0
T00001202,Model_A,4.38,2.95,4.07,3.64,0
T00001203,Model_A,3.42,4.43,3.63,3.9,0
T00001206,Model_A,3.99,3.04,3.41,3.33,0
T00001208,Model_A,3.33,4.08,2.15,3.4,0
T00001210,Model_A,3.73,3.3,2.82,3.26,0
T00001213,Model_A,3.7,3.46,3.78,3.63,0
T00001214,Model_A,3.53,2.65,4.5,3.52,0
T00001218,Model_A,3.88,2.89,3.45,3.21,0
T00001222,Model_A,3.07,3.33,3.84,3.34,0
T00001223,Model_A,3.59,3.86,3.71,3.69,0
T00001225,Model_A,3.39,3.79,3.5,3.56,0
T00001233,Model_A,4.2,3.44,4.07,3.73,0
T00001234,Model_A,3.7,4.09,2.71,3.94,0
T00001235,Model_A,3.09,3.33,3.47,3.16,0
T00001237,Model_A,4.02,3.44,3.43,3.73,0
T00001241,Model_A,4.51,3.77,3.75,3.89,0
T00001243,Model_A,3.16,3.85,3.68,3.51,0
T00001245,Model_A,5.0,3.33,2.94,3.91,0
T00001248,Model_A,2.6,3.06,3.97,3.37,0
T00001258,Model_A,4.92,3.82,3.83,4.07,0
T00001262,Model_A,3.28,2.9,3.97,3.39,0
T00001264,Model_A,3.76,3.79,3.31,3.73,0
T00001268,Model_A,3.37,3.37,3.67,3.63,0
T00001270,Model_A,3.82,4.13,3.6,4.08,0
T00001275,Model_A,4.29,3.98,3.48,4.06,0
T00001280,Model_A,3.51,3.89,3.42,3.6,0
T00001282,Model_A,3.88,4.03,4.04,3.96,0
T00001283,Model_A,4.28,3.22,3.66,3.93,0
T00001285,Model_A,4.47,3.28,3.47,4.03,0
T00001290,Model_A,4.95,3.93,3.62,4.23,0
T00001292,Model_A,4.35,4.08,3.7,4.03,0
T00001296,Model_A,3.21,3.37,2.55,3.01,0
T00001297,Model_A,4.11,3.52,3.08,3.72,0
T00001306,Model_A,4.33,4.2,3.77,4.25,1
T00001310,Model_A,3.33,4.17,3.46,3.85,0
T00001312,Model_A,3.11,3.16,3.66,3.25,0
T00001315,Model_A,3.1,2.87,2.76,2.99,0
T00001318,Model_A,3.31,3.31,4.16,3.68,0
T00001319,Model_A,3.24,3.12,2.93,3.26,0
T00001324,Model_A,3.51,3.06,2.37,2.98,0
T00001328,Model_A,3.36,4.23,3.33,3.27,0
T00001329,Model_A,3.72,3.95,3.98,3.81,0
T00001330,Model_A,3.17,3.96,3.29,3.49,0
T00001331,Model_A,4.36,4.32,3.27,3.69,0
T00001340,Model_A,3.53,3.96,3.6,3.64,0
T00001341,Model_A,4.11,3.07,3.61,3.96,0
T00001344,Model_A,3.83,4.06,3.44,3.7,0
T00001346,Model_A,3.73,4.73,2.38,3.53,0
T00001347,Model_A,3.14,3.91,4.19,3.65,0
T00001350,Model_A,4.27,2.92,3.72,3.84,0
T00001352,Model_A,3.03,3.7,2.62,3.04,0
T00001353,Model_A,3.2,3.42,3.86,3.16,0
T00001354,Model_A,3.85,2.63,3.55,3.64,0
T00001359,Model_A,3.33,3.1,3.19,3.35,1
T00001360,Model_A,3.71,2.57,3.29,3.03,0
T00001363,Model_A,3.53,4.84,3.46,3.99,0
T00001365,Model_A,2.9,3.21,3.67,3.34,0
T00001367,Model_A,3.25,3.37,3.45,3.53,0
T00001368,Model_A,3.01,3.32,2.84,2.8,0
T00001370,Model_A,3.65,3.89,4.05,3.74,0
T00001373,Model_A,2.99,3.68,3.18,3.31,0
T00001374,Model_A,4.47,3.62,4.06,4.2,0
T00001375,Model_A,2.91,3.81,4.49,3.71,0
T00001381,Model_A,3.54,3.84,3.91,3.74,0
T00001382,Model_A,3.38,3.53,3.04,3.3,0
T00001383,Model_A,3.96,3.52,3.46,3.68,0
T00001389,Model_A,3.16,3.27,4.09,3.5,0
T00001390,Model_A,3.71,3.83,3.27,3.55,0
T00001392,Model_A,3.74,3.12,2.7,3.11,0
T00001394,Model_A,3.45,3.79,3.24,3.21,0
T00001396,Model_A,3.55,2.71,4.01,3.55,1
T00001401,Model_A,3.59,3.5,2.75,3.36,0
T00001403,Model_A,3.6,3.34,2.74,3.19,0
T00001407,Model_A,4.05,3.75,2.79,3.33,0
T00001408,Model_A,4.11,3.08,4.57,3.83,0
T00001411,Model_A,3.6,3.31,3.37,3.48,0
T00001413,Model_A,4.02,3.12,3.72,3.49,0
T00001414,Model_A,3.49,3.51,4.29,3.53,0
T00001416,Model_A,3.56,3.79,3.08,3.4,0
T00001421,Model_A,4.12,3.45,3.96,3.53,0
